Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,49.709999,50.849998,49.689999,50.709999,47.655788,11653300
2015-10-13,50.779999,50.910000,49.360001,49.470001,46.490467,14905900
2015-10-14,49.590000,50.119999,49.450001,49.540001,46.556252,13731200
2015-10-15,49.669998,51.080002,49.250000,50.720001,47.665184,14037500
2015-10-16,51.299999,51.720001,51.080002,51.480000,48.379410,11092500
2015-10-19,51.330002,51.549999,50.930000,51.400002,48.304226,8441900
2015-10-20,51.389999,51.470001,50.099998,50.389999,47.355061,9876200
2015-10-21,50.750000,50.980000,50.150002,50.590000,47.543007,11269900
2015-10-22,50.820000,52.560001,50.299999,52.009998,48.877480,18449600
2015-10-23,52.349998,53.250000,52.139999,52.880001,49.695084,15703500
2015-10-26,52.650002,53.169998,52.470001,52.910000,49.723278,10975200
2015-10-27,53.759998,54.099998,52.779999,53.470001,50.249554,13956900
2015-10-28,53.990002,55.139999,53.549999,55.099998,51.781376,14710000
2015-10-29,54.959999,55.639999,54.470001,54.869999,51.565235,8863300
2015-10-30,54.790001,55.270000,54.660000,54.660000,51.367878,11017400
2015-11-02,54.689999,55.330002,54.410000,55.110001,51.790775,10559100
2015-11-03,55.080002,55.380001,54.480000,55.110001,51.790775,9216200
2015-11-04,55.470001,55.770000,55.180000,55.529999,52.185478,7718300
2015-11-05,55.459999,55.680000,54.680000,55.049999,51.734386,9046800
2015-11-06,54.790001,54.880001,54.009998,54.610001,51.320889,10723000
2015-11-09,54.029999,54.410000,53.740002,54.240002,50.973179,9140200
2015-11-10,54.380001,54.599998,54.020000,54.430000,51.151733,7462300
2015-11-11,54.810001,55.000000,53.680000,53.720001,50.484497,8544600
2015-11-12,53.590000,53.970001,53.029999,53.029999,49.836052,8577500
2015-11-13,53.459999,53.720001,52.900002,53.029999,49.836052,11394500
2015-11-16,52.189999,53.810001,52.130001,53.700001,50.465698,6907800
2015-11-17,53.709999,54.299999,53.290001,53.709999,50.475098,7126600
2015-11-18,53.860001,54.320000,53.700001,54.230000,50.963772,10811400
2015-11-19,54.439999,54.529999,53.919998,54.279999,51.010765,6839200
2015-11-20,54.610001,54.860001,54.000000,54.099998,50.841602,8933300
