TICKER	FIGI_TICKER	FIGI	TITLE	PUBLICATION_DATE	URL	SUMMARY
XOM	XOM:US	BBG000GZQ728	"Permian-Focused Parsely, Laredo Benefit From Low-Cost Shale Center"	2016-08-30T21:45:30.000+00:00	http://www.investors.com/news/parsley-laredo-rise-as-permian-is-center-of-low-cost-shale/	"Permian-Focused Parsely, Laredo Benefit From Low-Cost Shale Center"
XOM	XOM:US	BBG000GZQ728	Why Will Exxon Mobil's Upstream Operations Drive Its Value In The Future?	2016-08-30T19:38:31.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/sqepEs0oC34/why-will-exxon-mobils-upstream-operations-drive-its-value-in-the-future-cm672416	"Exxon Mobil ( XOM ) is a US based energy company with integrated upstream and downstream operations. Just like other integrated companies, Exxon also generates the majority of its revenue from its downstream operations.  However, the company has to"
XOM	XOM:US	BBG000GZQ728	A Return to $40 Oil? Rally Runs Out of Steam	2016-08-30T19:18:33.000+00:00	http://finance.yahoo.com/news/return-40-oil-rally-runs-191833521.html	A Return to $40 Oil? Rally Runs Out of Steam
XOM	XOM:US	BBG000GZQ728	"Exxon Mobil (XOM) Stock Down, Seeks Sale of Montana Refinery"	2016-08-30T18:38:00.000+00:00	https://www.thestreet.com/story/13689565/1/exxon-mobil-xom-stock-down-seeks-sale-of-montana-refinery.html?puc=yahoo&cm_ven=YAHOO	"Exxon Mobil (XOM) Stock Down, Seeks Sale of Montana Refinery"
XOM	XOM:US	BBG000GZQ728	"Oil & Gas Stock Roundup: Exxon Scraps Alaska Project, Shell Offloads Some GoM Assets"	2016-08-30T18:13:05.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/IVdKFAXTKM4/oil-gas-stock-roundup-exxon-scraps-alaska-project-shell-offloads-some-gom-assets-cm672369	"It was a week which saw oil prices trail the movement in the dollar and settle lower, while natural gas futures rose to near one year highs on repeated below average supply additions.  On the news"
XOM	XOM:US	BBG000GZQ728	Texas Stakes Claim for Renewable Energy	2016-08-30T17:22:00.000+00:00	http://www.investopedia.com/news/texas-stakes-claim-renewable-energy-nrg-duk-bp/?partner=YahooSA	Texas Stakes Claim for Renewable Energy
XOM	XOM:US	BBG000GZQ728	3 Stocks You Can Buy and Hold Forever	2016-08-30T16:35:24.000+00:00	http://www.fool.com/investing/2016/08/29/3-stocks-you-can-buy-and-hold-forever.aspx?source=yahoo-2&utm_campaign=article&utm_medium=feed&utm_source=yahoo-2	3 Stocks You Can Buy and Hold Forever
XOM	XOM:US	BBG000GZQ728	"Oil & Gas Stock Roundup: Exxon Scraps Alaska Project, Shell Offloads Some GoM Assets"	2016-08-30T15:39:03.000+00:00	http://finance.yahoo.com/news/oil-gas-stock-roundup-exxon-153903892.html	"Oil & Gas Stock Roundup: Exxon Scraps Alaska Project, Shell Offloads Some GoM Assets"
XOM	XOM:US	BBG000GZQ728	ExxonMobil Withdraws from Proposed LNG Facility in Alaska	2016-08-30T15:16:19.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lZ-rEur08Ro/exxonmobil-withdraws-from-proposed-lng-facility-in-alaska-cm672194	"U.S. supermajor, ExxonMobil CorporationXOM , has decided against investing further in the proposed Alaska LNG facility as the project is slated to change into a state owned endeavor.  The decision of the company is based on"
XOM	XOM:US	BBG000GZQ728	"Imperial Oil Limited (IMO) Ex-Dividend Date Scheduled for August 31, 2016"	2016-08-30T13:28:54.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/It-PPFpSaUA/imperial-oil-limited-imo-ex-dividend-date-scheduled-for-august-31-2016-cm672142	"Imperial Oil Limited ( IMO ) will begin trading ex dividend on August 31, 2016. A cash dividend payment of $0.1165 per share is scheduled to be paid on October 01, 2016. Shareholders who purchased IMO prior to the"
